,kdeğer,yerli,yabancı_g,yabancı_ç,yıl,sınıf,sınıf2
TUR_07T08,0.47038601649977163,0.4174427980417559,0.11217133985811893,0.09381672789332772,2006,3,maden
TUR_09,0.029732248395968906,0.8332930466652569,0.13697509412634878,0.008983381157473467,2006,3,maden
TUR_10T12,0.27043159576316667,0.6697625200932117,0.06067497710231919,0.09239677183246536,2006,1,imalat
TUR_13T15,0.39286921045541573,0.5077456711499381,0.09944421258907656,0.3050211036268975,2006,1,imalat
TUR_16,0.253253573044137,0.5999541820063657,0.14680223629754965,0.07889269394282632,2006,1,imalat
TUR_17T18,0.32206512203804066,0.5339627394268525,0.14397579607732117,0.07993896005564305,2006,1,imalat
TUR_19,0.12469600280607449,0.32809815615160043,0.5472120810335306,0.1969904547349351,2006,1,imalat
TUR_20,0.4078276265719031,0.41527113505892443,0.17692090902066043,0.17494928129494294,2006,1,imalat
TUR_21,0.6146625150575636,0.2812004034188507,0.10416409706455558,0.12524499430171998,2006,1,imalat
TUR_22,0.23794846871795386,0.5228965191021209,0.23916931120800533,0.18492832597944567,2006,1,imalat
TUR_23,0.44344361845610847,0.4741409620629386,0.08241596498133795,0.10501447679727534,2006,1,imalat
TUR_24,0.2616935958588676,0.5928893862431617,0.14541706698371204,0.2615854745750489,2006,1,imalat
TUR_25,0.31222751948884314,0.5080900637027368,0.17968256218360218,0.17861342499476726,2006,1,imalat
TUR_26,0.5956028449730009,0.22916504233320306,0.17523214831382003,0.389889961730178,2006,1,imalat
TUR_27,0.2719485430647851,0.5097208345523013,0.2183307137835064,0.2694705501693778,2006,1,imalat
TUR_28,0.2827947824895629,0.5240016566720477,0.19320424057938898,0.25826657660408237,2006,1,imalat
TUR_29,0.3133710123473733,0.4678248723419095,0.21880420320401725,0.5278369350213701,2006,1,imalat
TUR_30,0.5134925175181317,0.33650773415607954,0.14999981698235387,0.3295792174973395,2006,1,imalat
TUR_31T33,0.30139799586676724,0.5427892504606492,0.15581377136273092,0.12844901355267666,2006,1,imalat
TUR_35,0.14557423232835334,0.7433380892767993,0.1110877057578257,0.007169682396266826,2006,4,ins_en_ç
TUR_36T39,0.3795857920198055,0.5551048410910793,0.06530980062034034,0.004893769933986257,2006,4,ins_en_ç
TUR_41T43,0.3324380718015412,0.573665872116785,0.09389704689591212,0.0032908555591330425,2006,4,ins_en_ç
TUR_45T47,0.6887200222425068,0.28689162910396854,0.024393182515003265,0.1271295890028015,2006,5,hizm
TUR_49,0.6797737565870429,0.2607547024169296,0.05947168308105783,0.1078375495651544,2006,5,hizm
TUR_50,0.7085853952423309,0.24207991024018463,0.04934135808579434,0.15897820047966793,2006,5,hizm
TUR_51,0.13494855688743732,0.678594065358558,0.18645881063030872,0.46386137857138765,2006,5,hizm
TUR_52,0.3849968529607393,0.5527711951624906,0.062232963873403546,0.1328116662327563,2006,5,hizm
TUR_53,0.434386951651165,0.5237723280428508,0.04184094444584297,0.053028284492012474,2006,5,hizm
TUR_55T56,0.409937274718239,0.5451459392859991,0.04512493406946718,0.19313399980550808,2006,5,hizm
TUR_58T60,0.3564500813249757,0.565440009153286,0.07811009367980613,0.06674769808017178,2006,5,hizm
TUR_61,0.8105193545753216,0.16943076668136722,0.020049942090881005,0.033803613991510655,2006,5,hizm
TUR_62T63,0.4472829968278546,0.47840837991629886,0.07430960005512906,0.0549992150728247,2006,5,hizm
TUR_64T66,0.46753875925316674,0.47702944106061346,0.055432175879315475,0.05369672086509454,2006,5,hizm
TUR_68,0.8447736335171823,0.13610165776341804,0.01912540382235944,0.024174832899643915,2006,5,hizm
TUR_69T75,0.4683170889364835,0.46901162669094576,0.06267987403377968,0.013659469972886251,2006,5,hizm
TUR_77T82,0.5362937333498009,0.39030869025066434,0.0734069038105575,0.038445141579204145,2006,5,hizm
TUR_84,0.6551537597497159,0.29917439387135314,0.04570228437185111,0.004100956902574715,2006,5,hizm
TUR_85,0.7088667989057699,0.26684377004501725,0.024295021102916547,0.011546759504593261,2006,5,hizm
TUR_86T88,0.56262080811471,0.3884748884858098,0.0489161427609185,0.010562979548247779,2006,5,hizm
TUR_90T93,0.34986562842168467,0.611583778650717,0.038556382091208534,0.20540638150823126,2006,5,hizm
TUR_94T96,0.5222724788357073,0.43045567408246677,0.04727430945752537,0.02671152606000664,2006,5,hizm
TUR_97T98,1.0,0.0,0.0,0.0,2006,5,hizm
TUR_01T02,0.6096810874309146,0.33762980997542624,0.05293055149087123,0.05072211075201546,2007,2,tarım
TUR_03,0.7324284311735592,0.2213477683599474,0.046226421009159954,0.0669026923744216,2007,2,tarım
TUR_05T06,0.7273496716791992,0.2242154199390889,0.048435709899178586,0.2040339093059611,2007,3,maden
TUR_07T08,0.4367095369571499,0.4421436584030559,0.12114688356767453,0.09054120730370793,2007,3,maden
TUR_09,0.08664564478051973,0.7883090358323112,0.12504570368391785,0.003344095620043272,2007,3,maden
TUR_10T12,0.27579163974503096,0.6663980432049408,0.058284890780106166,0.08810693315598064,2007,1,imalat
TUR_13T15,0.3519580514566364,0.547991086466848,0.10008736245305326,0.28506076898024535,2007,1,imalat
TUR_16,0.33632262023858295,0.5398998732555056,0.12378274456158919,0.07727645067421339,2007,1,imalat
TUR_17T18,0.3142070832068605,0.547624229439968,0.13817077947403908,0.07905273308407872,2007,1,imalat
TUR_19,0.14769297567187076,0.32277842236740867,0.529531411946103,0.191326868586449,2007,1,imalat
TUR_20,0.35812709106218404,0.45060968836494697,0.19127322502143365,0.1698448430127881,2007,1,imalat
TUR_21,0.6323795122300413,0.274530130460691,0.09310366664265261,0.11965341256494468,2007,1,imalat
TUR_22,0.2184281563865058,0.5459183607624154,0.23566292521355806,0.17883102841142287,2007,1,imalat
TUR_23,0.43182006658502,0.4885751244105669,0.07960512535011036,0.1010834975431709,2007,1,imalat
TUR_24,0.22931594326265328,0.6204371466158246,0.15024693238847325,0.25811035311225367,2007,1,imalat
TUR_25,0.31029938477854196,0.5129745947865628,0.17672608182897226,0.17689950879561953,2007,1,imalat
TUR_26,0.3970584482969744,0.35297798018318516,0.24996359659655784,0.3623599829084387,2007,1,imalat
TUR_27,0.27172583011418017,0.5129041703892999,0.21537003601721488,0.2684385548797368,2007,1,imalat
TUR_28,0.29088796440120773,0.5206113485815059,0.1885009848591679,0.25364198749626354,2007,1,imalat
TUR_29,0.3136772124638559,0.4698116820269832,0.21651114291218307,0.5640710708553381,2007,1,imalat
TUR_30,0.5916496205055355,0.2827096925006565,0.12564071004158678,0.31704692832475223,2007,1,imalat
TUR_31T33,0.35411659383143024,0.5065053277737842,0.1393786577660208,0.1210087910024788,2007,1,imalat
TUR_35,0.15455065018612169,0.7418852733951928,0.10356408815229251,0.006618948906329804,2007,4,ins_en_ç
TUR_36T39,0.3707007680564307,0.5666862992982463,0.06261320334465004,0.0046311495139662725,2007,4,ins_en_ç
TUR_41T43,0.351402256098876,0.5632146691701776,0.08538362138637634,0.0035778986526103685,2007,4,ins_en_ç
TUR_45T47,0.6674607133282769,0.30220815701310516,0.03033416780562888,0.12448764318122538,2007,5,hizm
TUR_49,0.6727797679919307,0.26642920912896295,0.06079110157381101,0.10109583238359211,2007,5,hizm
TUR_50,0.7541523511532584,0.18916765760978846,0.0566825424282309,0.20492657492659597,2007,5,hizm
TUR_51,0.1776926047495993,0.6382685031131018,0.1840394634699983,0.4060123099726874,2007,5,hizm
TUR_52,0.37632378038944825,0.5507110381970892,0.07296563726641415,0.12818549054268918,2007,5,hizm
TUR_53,0.3839533234670336,0.567282843466587,0.048763933699398264,0.04606896123822098,2007,5,hizm
TUR_55T56,0.4028660980791579,0.5547316368020303,0.042508375538086986,0.18785548292469365,2007,5,hizm
TUR_58T60,0.3172222323206811,0.6089404645100283,0.07383739889369875,0.05881028891612013,2007,5,hizm
TUR_61,0.8385663503314685,0.1462469458836159,0.015186727310086448,0.03237910239202169,2007,5,hizm
TUR_62T63,0.5421988991810373,0.39826774398779097,0.05953377753045947,0.049257537516092444,2007,5,hizm
TUR_64T66,0.4735130037429076,0.47180339989350667,0.05468375467658263,0.047550650489071,2007,5,hizm
TUR_68,0.8789781270590644,0.1069022332606705,0.014119919273354375,0.020795709664010464,2007,5,hizm
TUR_69T75,0.49771742269842556,0.4489988976470382,0.05328814298006589,0.01276634479147845,2007,5,hizm
TUR_77T82,0.5882948808940699,0.35555282120179554,0.056156439925257644,0.03213507305284798,2007,5,hizm
TUR_84,0.6451333126837959,0.31024033232172926,0.044642602362205526,0.0045364400751813465,2007,5,hizm
TUR_85,0.7314871418467259,0.24709514281870984,0.0214206816201861,0.0111249347333314,2007,5,hizm
TUR_86T88,0.5880871354938145,0.36879755376638085,0.04312055893236335,0.010003006446742823,2007,5,hizm
TUR_90T93,0.37882557260711464,0.584457358857006,0.03672058330737248,0.1758218605694714,2007,5,hizm
TUR_94T96,0.5631563691267852,0.39124852775523844,0.045596365056278836,0.026211182912242174,2007,5,hizm
TUR_97T98,1.0,0.0,0.0,0.0,2007,5,hizm
TUR_01T02,0.6075289748239451,0.33317582828691517,0.05929593191991505,0.05603123702789476,2008,2,tarım
TUR_03,0.7233335595228106,0.22384099756718456,0.05282543163516095,0.0751569660815184,2008,2,tarım
TUR_05T06,0.8140682532770696,0.1443702646881327,0.04156148156933389,0.2108008311609153,2008,3,maden
TUR_07T08,0.3565364648912192,0.48951307461793625,0.15395045977655425,0.10194169196378515,2008,3,maden
TUR_09,0.17217913378797092,0.7159890723036149,0.11183178948465744,0.0055735448860306635,2008,3,maden
TUR_10T12,0.26579469834227404,0.6704966158291049,0.06371013993730966,0.09814490152957382,2008,1,imalat
TUR_13T15,0.3054409941783548,0.5813207417360405,0.11323839097296083,0.2783501015394249,2008,1,imalat
TUR_16,0.28195612991633945,0.5767634813540036,0.14128040579778617,0.08937402392116289,2008,1,imalat
TUR_17T18,0.2789831516739608,0.5696278013821656,0.15138905413865694,0.09112976305107065,2008,1,imalat
TUR_19,0.1272323804097051,0.3222123622964425,0.5505552624096709,0.22104358573106914,2008,1,imalat
TUR_20,0.3662542222359902,0.4314197261084358,0.20232607481335926,0.19445754012444558,2008,1,imalat
TUR_21,0.621890869325207,0.275702601113242,0.10240655776824673,0.13374090346238637,2008,1,imalat
TUR_22,0.23971114584723677,0.5211747871563228,0.23911409710092393,0.2053120819753054,2008,1,imalat
TUR_23,0.35119970197363654,0.5519175897632559,0.09688270872258468,0.11603896067554104,2008,1,imalat
TUR_24,0.3059703043900231,0.5534501665478433,0.1405795293231927,0.3020252348466249,2008,1,imalat
TUR_25,0.32534049365071394,0.4882928259997886,0.186366680098558,0.20535297651464066,2008,1,imalat
TUR_26,0.41776351310095294,0.326107613745576,0.2561288711937798,0.3991707390790778,2008,1,imalat
TUR_27,0.2832699606954773,0.4860979586917635,0.23063208129332494,0.3125200459077192,2008,1,imalat
TUR_28,0.2779907295925944,0.5165665294043419,0.20544274189839748,0.2943337491517148,2008,1,imalat
TUR_29,0.2724775148272954,0.48047663218294184,0.24704585404777943,0.5744361964681161,2008,1,imalat
TUR_30,0.7598397229644805,0.158491608194683,0.08166866715395937,0.3657994381782584,2008,1,imalat
TUR_31T33,0.326511990730068,0.5167308046955905,0.15675720733254322,0.1375906963357853,2008,1,imalat
TUR_35,0.17490623924953885,0.7137539550993061,0.111339805651155,0.006578519391869031,2008,4,ins_en_ç
TUR_36T39,0.3792548041479891,0.5604216171425351,0.06032357914116458,0.005134046783421008,2008,4,ins_en_ç
TUR_41T43,0.353850528825032,0.5561946888861227,0.08995478411991549,0.003975285567482102,2008,4,ins_en_ç
TUR_45T47,0.6635166696718019,0.3060409473327778,0.0304423909574449,0.13514755502495374,2008,5,hizm
TUR_49,0.6431650055733376,0.29478166972351333,0.06205332476861353,0.08882757271447363,2008,5,hizm
TUR_50,0.7556347731325334,0.1994197362813575,0.04494549358168508,0.14567439068196006,2008,5,hizm
TUR_51,0.15843334125640787,0.6305471567624977,0.21101950187848995,0.4768304891325107,2008,5,hizm
TUR_52,0.4537827349806808,0.48560310732565254,0.06061416015392791,0.13951883260932027,2008,5,hizm
TUR_53,0.37735489611127654,0.5705113670795104,0.05213372788102779,0.054385296240214945,2008,5,hizm
TUR_55T56,0.39161450170519535,0.5628194078632675,0.045566387669008626,0.18673157114426364,2008,5,hizm
TUR_58T60,0.2928465328803183,0.6344947835936282,0.07265868572165304,0.06477937037067678,2008,5,hizm
TUR_61,0.8567825575383514,0.130387640448322,0.012829801324317307,0.03715985793476351,2008,5,hizm
TUR_62T63,0.6085150023556776,0.3401236343575443,0.051361364377781875,0.059265317390688584,2008,5,hizm
TUR_64T66,0.5281981270769146,0.4254132240386773,0.04638864897075729,0.06593334319525512,2008,5,hizm
TUR_68,0.8860147874091675,0.10015885539572601,0.0138263581294449,0.022437731319472208,2008,5,hizm
TUR_69T75,0.48674046342010663,0.4610608168337161,0.05219873256818182,0.013160712789225931,2008,5,hizm
TUR_77T82,0.605773434608645,0.3396844834294822,0.0545420922807831,0.03604090762908032,2008,5,hizm
TUR_84,0.6316895166302051,0.32163078902623116,0.04667974034907681,0.005578160522601873,2008,5,hizm
TUR_85,0.7364958519034863,0.24281751715104638,0.02068663902068946,0.011048275659166858,2008,5,hizm
TUR_86T88,0.6051297815850214,0.35189676206447773,0.04297346869632797,0.009830352616534838,2008,5,hizm
TUR_90T93,0.4636019652877723,0.5050867059080749,0.03131133695435373,0.1887069254461215,2008,5,hizm
TUR_94T96,0.5481600562764597,0.40178477172137356,0.050055176999863095,0.026462523592231942,2008,5,hizm
TUR_97T98,1.0,0.0,0.0,0.0,2008,5,hizm
TUR_01T02,0.6559259107570725,0.30084123497502196,0.043232854151597694,0.05252911168622306,2009,2,tarım
TUR_03,0.7806157704461132,0.18584871799626557,0.033535521034745254,0.07672693648249607,2009,2,tarım
TUR_05T06,0.7666218231140514,0.19018780889642864,0.04319036934984482,0.20926979831841694,2009,3,maden
TUR_07T08,0.4523758658661765,0.42796084008337887,0.1196632934880096,0.09730519189874155,2009,3,maden
TUR_09,0.13318424387842429,0.7559694085256576,0.11084630028923803,0.004558838506834205,2009,3,maden
TUR_10T12,0.2915816158975654,0.6568313185472188,0.05158706545815822,0.09533044966242295,2009,1,imalat
TUR_13T15,0.2938591450356992,0.6091223375780199,0.09701851687067979,0.2678002267490655,2009,1,imalat
TUR_16,0.2805299184723265,0.5964603771804976,0.12300970855959295,0.0889041938629372,2009,1,imalat
